Time;Horizontal Acceleration;Vertical Acceleration;Horizontal Velocity;Vertical Velocity;Horizontal Position;Vertical Position;Power;Thrust;Drag;Delta;Alpha;MissionEnergy
55.1978;0;0;15;0;218.508;100;1684.78;84.7278;0.545989;0.00644408;0;95686.9;
56.2014;0;0;15;0;233.562;100;1684.78;84.7278;0.545989;0.00644408;0;97377.8;
57.2049;0;0;15;0;248.615;100;1684.78;84.7278;0.545989;0.00644408;0;99068.6;
58.2085;0;0;15;0;263.669;100;1684.78;84.7278;0.545989;0.00644408;0;100759;
59.2121;0;0;15;0;278.723;100;1684.78;84.7278;0.545989;0.00644408;0;102450;
60.2157;0;0;15;0;293.777;100;1684.78;84.7278;0.545989;0.00644408;0;104141;
61.2193;0;0;15;0;308.831;100;1684.78;84.7278;0.545989;0.00644408;0;105832;
62.2229;0;0;15;0;323.885;100;1684.78;84.7278;0.545989;0.00644408;0;107523;
63.2265;0;0;15;0;338.939;100;1684.78;84.7278;0.545989;0.00644408;0;109214;
64.2301;0;0;15;0;353.993;100;1684.78;84.7278;0.545989;0.00644408;0;110904;
65.2337;0;0;15;0;369.047;100;1684.78;84.7278;0.545989;0.00644408;0;112595;
66.2373;0;0;15;0;384.101;100;1684.78;84.7278;0.545989;0.00644408;0;114286;
67.2409;0;0;15;0;399.155;100;1684.78;84.7278;0.545989;0.00644408;0;115977;
68.2445;0;0;15;0;414.209;100;1684.78;84.7278;0.545989;0.00644408;0;117668;
69.2481;0;0;15;0;429.263;100;1684.78;84.7278;0.545989;0.00644408;0;119359;
70.2517;0;0;15;0;444.317;100;1684.78;84.7278;0.545989;0.00644408;0;121049;
71.2553;0;0;15;0;459.371;100;1684.78;84.7278;0.545989;0.00644408;0;122740;
72.2589;0;0;15;0;474.424;100;1684.78;84.7278;0.545989;0.00644408;0;124431;
73.2625;0;0;15;0;489.478;100;1684.78;84.7278;0.545989;0.00644408;0;126122;
74.2661;0;0;15;0;504.532;100;1684.78;84.7278;0.545989;0.00644408;0;127813;
75.2697;0;0;15;0;519.586;100;1684.78;84.7278;0.545989;0.00644408;0;129504;
76.2733;0;0;15;0;534.64;100;1684.78;84.7278;0.545989;0.00644408;0;131195;
77.2769;0;0;15;0;549.694;100;1684.78;84.7278;0.545989;0.00644408;0;132885;
78.2805;0;0;15;0;564.748;100;1684.78;84.7278;0.545989;0.00644408;0;134576;
79.2841;0;0;15;0;579.802;100;1684.78;84.7278;0.545989;0.00644408;0;136267;
80.2876;0;0;15;0;594.856;100;1684.78;84.7278;0.545989;0.00644408;0;137958;
81.2912;0;0;15;0;609.91;100;1684.78;84.7278;0.545989;0.00644408;0;139649;
82.2948;0;0;15;0;624.964;100;1684.78;84.7278;0.545989;0.00644408;0;141340;
83.2984;0;0;15;0;640.018;100;1684.78;84.7278;0.545989;0.00644408;0;143030;
84.302;0;0;15;0;655.072;100;1684.78;84.7278;0.545989;0.00644408;0;144721;
85.3056;0;0;15;0;670.126;100;1684.78;84.7278;0.545989;0.00644408;0;146412;
86.3092;0;0;15;0;685.18;100;1684.78;84.7278;0.545989;0.00644408;0;148103;
87.3128;0;0;15;0;700.233;100;1684.78;84.7278;0.545989;0.00644408;0;149794;
88.3164;0;0;15;0;715.287;100;1684.78;84.7278;0.545989;0.00644408;0;151485;
89.32;0;0;15;0;730.341;100;1684.78;84.7278;0.545989;0.00644408;0;153175;
90.3236;0;0;15;0;745.395;100;1684.78;84.7278;0.545989;0.00644408;0;154866;
91.3272;0;0;15;0;760.449;100;1684.78;84.7278;0.545989;0.00644408;0;156557;
92.3308;0;0;15;0;775.503;100;1684.78;84.7278;0.545989;0.00644408;0;158248;
93.3344;0;0;15;0;790.557;100;1684.78;84.7278;0.545989;0.00644408;0;159939;
94.338;0;0;15;0;805.611;100;1684.78;84.7278;0.545989;0.00644408;0;161630;
95.3416;0;0;15;0;820.665;100;1684.78;84.7278;0.545989;0.00644408;0;163320;
96.3452;0;0;15;0;835.719;100;1684.78;84.7278;0.545989;0.00644408;0;165011;
97.3488;0;0;15;0;850.773;100;1684.78;84.7278;0.545989;0.00644408;0;166702;
98.3524;0;0;15;0;865.827;100;1684.78;84.7278;0.545989;0.00644408;0;168393;
99.356;0;0;15;0;880.881;100;1684.78;84.7278;0.545989;0.00644408;0;170084;
100.36;0;0;15;0;895.935;100;1684.78;84.7278;0.545989;0.00644408;0;171775;
101.363;0;0;15;0;910.989;100;1684.78;84.7278;0.545989;0.00644408;0;173465;
102.367;0;0;15;0;926.042;100;1684.78;84.7278;0.545989;0.00644408;0;175156;
103.37;0;0;15;0;941.096;100;1684.78;84.7278;0.545989;0.00644408;0;176847;
104.374;0;0;15;0;956.15;100;1684.78;84.7278;0.545989;0.00644408;0;178538;
105.378;0;0;15;0;971.204;100;1684.78;84.7278;0.545989;0.00644408;0;180229;
106.381;0;0;15;0;986.258;100;1684.78;84.7278;0.545989;0.00644408;0;181920;
107.385;0;0;15;0;1001.31;100;1684.78;84.7278;0.545989;0.00644408;0;183611;
108.388;0;0;15;0;1016.37;100;1684.78;84.7278;0.545989;0.00644408;0;185301;
109.392;0;0;15;0;1031.42;100;1684.78;84.7278;0.545989;0.00644408;0;186992;
110.396;0;0;15;0;1046.47;100;1684.78;84.7278;0.545989;0.00644408;0;188683;
